"id","code","name","name@pl","account_type","reconcile","tag_ids"
"chart22101","221.01","VAT due current","VAT należny bieżący","liability_current","False","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22102","221.02","Current input VAT","VAT naliczony bieżący","asset_current","False","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22103","221.03","VAT receivable deferred","VAT należny odroczony","liability_current","False","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22104","221.04","Deferred input VAT","VAT naliczony odroczony","asset_current","False","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22108","221.08","Settlement with the tax office of VAT - liabilities.","Rozliczenie z urzędem skarbowym podatku VAT - zobowiązania","liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22109","221.09","Settlement with the tax office of VAT - receivables.","Rozliczenie z urzędem skarbowym podatku VAT - należności","asset_receivable","True","trilab_pl_reports.Aktywa_B_II_3_B"
"chart23101","231.01","Settlements with employees on account of wages and salaries","Rozrachunki z pracownikami z tytułu wynagrodzeń","liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_H"
"chart23401","234.01","Other settlements with employees - liabilities","Inne rozrachunki z pracownikami - zobowiązania","liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_I"
"chart23402","234.02","Other settlements with employees - receivables","Inne rozrachunki z pracownikami - należności","asset_receivable","True","trilab_pl_reports.Aktywa_B_II_3_C"
"chart24201","242.01","Settlement of inventory","Rozliczenie inwentaryzacji","asset_current","False","trilab_pl_reports.Aktywa_B_II_3_C"
"chart24901","249.01","Other settlements Employee insurance",Inne rozrachunki ubezpieczenie pracowników,"liability_current","True","trilab_pl_reports.Pasywa_B_II_3_E"
"chart24902","249.02","Other settlements Insurance receivables from injury settlements",Inne rozrachunki ubezpieczenia należności z rozliczeń za szkody,"asset_current","True","trilab_pl_reports.Aktywa_B_II_3_C"
"chart24903","249.03","Other settlements Deductions from employees",Inne rozrachunki potrącenia od pracowników,"liability_current","True","trilab_pl_reports.Pasywa_B_II_3_E"
"chart24999","249.99","Other settlements Other technical account",Inne rozrachunki pozostałe konto techniczne,"liability_current","False","trilab_pl_reports.Pasywa_B_II_3_E"
"chart25001","250.01","Settlements with shareholders for dividends",Rozrachunki z akcjonariuszami i udziałowcami z tytułu dywidend,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_I"
"chart25002","250.02","Settlements with shareholders and capital stockholders","Rozrachunki z akcjonariuszami i udziałowcami z tytułu kapitału","asset_receivable","True","trilab_pl_reports.Aktywa_C"
"chart27001","270.01","Allowances for receivables","Odpisy aktualizujące należności","asset_current","False","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart27011","270.11","Allowances for materials","Odpisy aktualizujące materiały","asset_current","False","trilab_pl_reports.Aktywa_B_I_1"
"chart27012","270.12","Allowances for goods","Odpisy aktualizujące towary","asset_current","False","trilab_pl_reports.Aktywa_B_I_4"
"chart27013","270.13","Allowances for products","Odpisy aktualizujące produkty","asset_current","False","trilab_pl_reports.Aktywa_B_I_3"
"chart30001","300.01","Settlement of purchases","Rozliczenie zakupu","asset_current","True","trilab_pl_reports.Aktywa_B_I_4"
"chart30501","305.01","Settlement of sales","Rozliczenie sprzedaży","asset_current","True","trilab_pl_reports.Aktywa_B_I_4"
"chart31001","310.01","Materials","Materiały","asset_current","True","trilab_pl_reports.Aktywa_B_I_1"
"chart33001","330.01","Trade goods","Towary handlowe","asset_current","False","trilab_pl_reports.Aktywa_B_I_4"
"chart34001","340.01","Deviations from book prices of materials","Odchylenia od cen ewidencyjnych materiałów","asset_current","False","trilab_pl_reports.Aktywa_B_I_1"
